"Variable","Coefficient","Odds_Ratio","Probability"
"Intercept",-340.132493531285,1.91573283680538e-148,1.91573283680538e-148
"Mangrove_Dist",0.000143777254368283,1.00014378759081,0.50003594431353
"Reef_Dist",0.000352673885856982,1.0003527360826,0.50008816847055
"Depth",0.1117050865522,1.11818304479686,0.527897269097485
"Slope",0.280001472580441,1.32313176075395,0.569546584961906
"BPI_Broad",-0.00287282522361575,0.997131297389973,0.49928179418805
"Mean_Sum_Temp",1.40209408285208,4.06370078916366,0.802515977614633
"Mean_Sum_Sal",6.68115600497614,797.240193156611,0.9987472442398
"Mean_Win_Temp",1.53322871888382,4.63311171432449,0.82247822327807
"Mean_Win_Sal",0.56903607303377,1.76656339237273,0.638540724294644
"Patch_Area",-8.99495914571719e-07,0.99999910050449,0.499999775126021
"PA_Ratio",13.8891199029091,1076386.22762997,0.999999070966308
"Patch_Neigh_Dist",0.000180708399860043,1.00018072472861,0.500045177099842
"Area_CRHB",-3.58860595793377e-08,0.999999964113941,0.499999991028485
"Area_SG",2.35409108461107e-06,1.00000235409386,0.500000588522771
