"Variable","Coefficient","Odds_Ratio","Probability"
"Intercept",-193.921710574069,6.0376950835106e-85,6.0376950835106e-85
"Mangrove_Dist",-0.000193047988099117,0.999806970644465,0.499951738003125
"Reef_Dist",-4.29882576904579e-05,0.999957012666291,0.499989252935579
"Depth",0.1022877534088,1.10770217094797,0.525549665515485
"Slope",0.185239365683038,1.20350648380397,0.546177872699665
"BPI_Broad",-0.00105327479532538,0.998947279703875,0.499736681325512
"Mean_Sum_Temp",-2.36373188865898,0.0940685141139334,0.0859804599989954
"Mean_Sum_Sal",8.17286091715461,3543.46704172065,0.999717870137251
"Mean_Win_Temp",0.779842209318812,2.18112807665905,0.685646105437464
"Mean_Win_Sal",-1.2062436293624,0.299319525400854,0.230366372204335
"Patch_Area",-4.73629663512712e-06,0.999995263714581,0.499998815925841
"PA_Ratio",1.89257055601646,6.63640602737628,0.869048345986969
"Patch_Neigh_Dist",0.000420227197860223,1.00042031550568,0.500105056797919
"Area_CRHB",-4.37129191877855e-06,0.999995628717635,0.49999890717702
"Area_SG",4.03222309767819e-06,1.00000403223123,0.500001008055774
